CardName,1999-07,2000-02,2000-05,2000-07,2000-08,2000-11,2001-01,2001-05,2002-01,2002-05,2003-01,2003-04,2003-07,2003-10,2004-03,2004-09,2005-03,2005-09,2006-03,2006-09,2007-03,2007-09,2008-03,2008-09,2009-03,2009-09,2010-03,2010-09
"Dante, Traveler of the Burning Abyss",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Armed Dragon,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1
Dark Grepher,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3
Dark Hole,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Dark Magician of Chaos,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Dark Scorpion - Chick the Yellow,,,,,,,,,,,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
Dark Strike Fighter,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0
Debris Dragon,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3
Deck Devastation Virus,,,,,,,,,,,,,,,,,1,1,2,2,2,3,3,3,3,3,3,3
Deep Sea Diva,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3
Delinquent Duo,,,3,2,2,2,2,2,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Demise, King of Armageddon",,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,1,2,2
"Denglong, First of the Yang Zing",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destiny Draw,,,,,,,,,,,,,,,,,,,,,3,3,3,3,2,3,1,1
Destiny HERO - Disk Commander,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0
Destiny HERO - Malicious,,,,,,,,,,,,,,,,,,,,,3,2,2,3,2,2,2,2
"Dewloren, Tiger King of the Ice Barrier",,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2
Diabellstar the Black Witch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimension Fusion,,,,,,,,,,,,,,3,3,3,3,3,3,3,1,1,1,0,0,0,0,0
Dimension Shifter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dinomight Knight, the True Dracofighter",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinowrestler Pankratops,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divine Arsenal AA-ZEUS - Sky Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divine Sword - Phoenix Blade,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3
Divine Wind of Mist Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djinn Releaser of Rituals,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
Domain of the True Monarchs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Iris Magician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draco Face-Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draconnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Ravine,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Dragon Shrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonic Diagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drop Off,,,,,,,,,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3
E - Emergency Call,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3
Eclipse Wyvern,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Shaddoll Construct,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Shaddoll Fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Shaddoll Winda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder Entity Norden,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldlixir of Scarlet Sanguine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elemental HERO Bubbleman,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3
Elemental HERO Shadow Mist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elemental HERO Stratos,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
Emergency Provisions,,,,,,,,,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3
Emergency Teleport,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1
EMERGENCY!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eva,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evigishki Gustkraken,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evilswarm Ophion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exchange of the Spirit,,,,,,,,,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Exiled Force,,,,,,,,,3,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3
Exodia the Forbidden One,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fairy Tail - Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiber Jar,,,,,,,,,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fiendsmith Engraver,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiendsmith's Tract,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Formation - Tenki,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire King High Avatar Kirin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firewall Dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishborg Blaster,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3
Fissure,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3
Floowandereeze and the Magnificent Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foolish Burial,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,2,2,2,2,1,1
Foolish Burial Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula Synchron,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Dig,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3
Fusion Destiny,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Future Fusion,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
"Galatea, the Orcust Automaton",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gandora-X the Dragon of Demolition,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gateway of the Six,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genex Ally Birdman,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
Giant Trunade,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1
"Girsu, the Orcust Mekk-Knight",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladiator Beast Bestiari,,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,1,1
Glow-Up Bulb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goblin Zombie,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3
Gold Sarcophagus,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2
Good Goblin Housekeeping,,,,,,,,,,,,,,,,,2,2,2,2,2,3,3,3,3,3,3,3
Gorz the Emissary of Darkness,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
Goyo Guardian,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1
Gozen Match,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3
Graceful Charity,,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
Gravekeeper's Servant,,,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Gravity Bind,,,,,,,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,2,2,2,2
"Green Baboon, Defender of the Forest",,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,3,3
Green Gadget,,,,,,,,,,,,,,,,3,3,3,3,3,3,2,3,3,3,3,3,3
Grinder Golem,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3
Guardian Sphinx,,,,,,,,,,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Guardragon Agarpain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardragon Elpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harmonizing Magician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harpie's Feather Duster,,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heavy Storm,,,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Heavymetalfoes Electrumite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herald of Orange Light,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
Hieratic Seal of Convocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honest,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,2,2
Hot Red Dragon Archfiend King Calamity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ib the World Chalice Justiciar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icarus Attack,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3
"Ignister Prominence, the Blasting Dracoslayer",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial Order,,,,,,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infernity Launcher,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1
Injection Fairy Lily,,,,,,,,,3,1,1,1,1,1,0,1,1,1,1,1,3,3,3,3,3,3,3,3
Instant Fusion,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3
Interrupted Kaiju Slumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invoked Mechaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inzektor Dragonfly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inzektor Hornet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinzo,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3
Judgment Dragon,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,2,2
Junk Speeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiser Colosseum,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Kashtira Fenrir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kashtira Unicorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelbek the Ancient Vanguard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keldo the Sacred Protector,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knightmare Goblin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knightmare Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuribandit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Debug,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Turn,,,,,,,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
Last Will,,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0
Lavalval Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Left Arm of the Forbidden One,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Left Leg of the Forbidden One,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Legendary Six Samurai - Shi En,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level Eater,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
Level Limit - Area B,,,,,,,,,,,,,,,3,3,2,2,1,1,1,1,1,1,1,1,1,1
Life Equalizer,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3
Light and Darkness Dragon,,,,,,,,,,,,,,,,,,,,,3,3,2,3,3,3,3,3
Lightning Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightning Vortex,,,,,,,,,,,,,,,,,1,1,1,3,3,3,3,3,3,3,3,3
"Lightning, Dragon Ruler of Drafts",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limiter Removal,,,,,,,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1
Linkross,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonefire Blossom,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,2
"Lumina, Lightsworn Summoner",,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,1,1
"Luster Pendulum, the Dracoslayer",,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-X-Saber Invoker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mage Power,,,,,,,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3
Magic Cylinder,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Magical Explosion,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,1,1
Magical Meltdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magical Scientist,,,,,,,,,,,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Magical Stone Excavation,,,,,,,,,,,,,,,,3,3,3,1,1,1,1,2,2,2,2,2,2
Magician of Faith,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,0,1,0,0,0,0,0,0
Majespecter Unicorn - Kirin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makyura the Destructor,,,,,,,,,3,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Manju of the Ten Thousand Hands,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Manticore of Darkness,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
Marauding Captain,,,,,,,,,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Marshmallon,,,,,,,,,,,,,,,,3,1,1,1,1,1,1,1,1,1,1,1,1
Mask Change II,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mask of Darkness,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,2,2,2,2,3,3
Mass Driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Master Peace, the True Dracoslaying King",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathmech Circular,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maxx ""C""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megamorph,,,,3,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1
Memories of Hope,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mermail Abyssteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metamorphosis,,,,,,,,,,,3,3,3,3,3,3,3,1,1,1,2,0,0,0,0,0,0,0
Metaverse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mezuki,,,,,,,,,,,,,,,,,,,,,,,3,3,1,2,1,1
Mind Control,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,1,1,1
Mind Crush,,,,,,,,,,,,,,,,3,3,3,3,3,1,1,1,1,2,2,1,1
Mind Master,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,1
Mirage of Nightmare,,,,,,,,,,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Mirror Force,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Monster Gate,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,1,1,1,1,1
Monster Reborn,,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1
Morphing Jar,,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Morphing Jar 2|Morphing Jar #2,,,,,,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
Mudora the Sword Oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Friend Purrely,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystic Mine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystical Space Typhoon,,,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2
Nadir Servant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necro Gardna,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,1,1
Necroface,,,,,,,,,,,,,,,,,,,,3,3,3,2,2,2,2,1,1
Needlebug Nest,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3
Nekroz Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekroz of Brionac,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nekroz of Unicore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neo-Spacian Grand Mole,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
Night Assailant,,,,,,,,,,,,,,,3,3,3,1,1,1,1,1,1,1,1,1,1,1
Nightmare Throne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobleman of Crossout,,,,,,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,3,3,3,3
Number 11: Big Eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number 16: Shock Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number 40: Gimmick Puppet of Strings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number 86: Heroic Champion - Rhongomyniad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number 95: Galaxy-Eyes Dark Matter Dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number S0: Utopic ZEXAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ojama Trio,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2
One Day of Peace,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One for One,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1
Orcust Harp Horror,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outer Entity Azathot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overload Fusion,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,1,1,1,1
Painful Choice,,,3,3,3,3,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pantheism of the Monarchs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pendulum Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performage Damage Juggler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performage Plushfire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
